IdStation,Name,Address,DockBikes,FreeBases,TotalBases,Estado,NoAvailabl,Longitud,Latitud
2334,340 - Illescas - Seseña,"Calle Illescas, 1",21,6,27,Disponible,Disponible,-3.765698,40.397098
2335,342 - Osa de la Vega - Rafael Finat,"Calle Osa de la Vega, 1",3,20,23,Fuera de servicio,Disponible,-3.773381,40.374979
2337,381 - Alfredo Aleix - Mercedes Rodríguez,"Calle Alfredo Aleix, 9",8,16,24,Poca disponibilidad,Disponible,-3.755392,40.368477
2339,"444 - Valderrebollo, 18","Calle Valderrebollo, 18",22,1,23,Disponible,Disponible,-3.627635,40.374348
2340,448 - Metro Las Suertes,"Avenida Del Ensanche de Vallecas, 80",14,13,27,Poca disponibilidad,Disponible,-3.599352,40.363376
2341,472 - Metro Valdebernardo,"Calle de los Pinillas, 19",4,23,27,Fuera de servicio,Disponible,-3.621148,40.398797
2342,473 - Villablanca - Parque Forestal Vicálvaro,"Calle Villa Blanca, 85",21,6,27,Disponible,Disponible,-3.59888,40.405
2343,474 - Estación de tren de Vicálvaro,"Calle San Cipriano, 71",10,17,27,Poca disponibilidad,Disponible,-3.596875,40.402255
2347,541 - Metro Pinar del Rey,"Avenida Gran Vía de Hortaleza, 68",8,15,23,Poca disponibilidad,Disponible,-3.646859,40.468271
2348,546 - Andorra - Canillas,"Calle Andorra, 2",5,18,23,Fuera de servicio,Disponible,-3.646752,40.462898
2349,"550 - Príncipe Carlos, 54","Calle del Príncipe Carlos, 54",2,21,23,Fuera de servicio,Disponible,-3.656674,40.494111
2350,553 - María Portugal - Niceto Alcalá Zamora,"Calle María de Portugal, 44",11,12,23,Poca disponibilidad,Disponible,-3.658921,40.499909
2351,601 - Estación de tren de Fuencarral,Calle Antonio de Cabezón (Estacion Cercanías Fuencarral),3,20,23,Fuera de servicio,Disponible,-3.682469,40.501559
2352,"603 - Castiello de Jaca, 14","Calle Castiello de Jaca, 14",0,23,23,Fuera de servicio,Disponible,-3.678203,40.509198
2359,607 - Metro Ligero - Palas de Rey,"Calle Valcarlos, 20 ,Comunidad de Madrid España",21,6,27,Disponible,Disponible,-3.664157,40.505192
2360,610 - Bardegueral,"Bardegueral,16,Comunidad de Madrid España",7,16,23,Fuera de servicio,Disponible,-3.77191,40.450172
2362,237 - Acueducto de Amaniel,"Calle Francisco Balseiro, 2 ,Comunidad de Madrid España",0,24,24,Fuera de servicio,Disponible,-3.710274,40.451682
2365,262 - María de las Mercedes de Borbón B,"Calle María de las Mercedes de Borbón, 214",9,14,23,Poca disponibilidad,Disponible,-3.620114,40.492868
2366,611 - María de las Mercedes de Borbón A,"Calle María de las Mercedes de Borbón, 98",2,21,23,Fuera de servicio,Disponible,-3.612107,40.490908
2368,176 - Plaza de la Beata María Ana de Jesús,"Calle Alicante, 3",0,0,0,Estado desconocido/mantenimiento,No disponible,-3.693941,40.394186
