tipo_elem,distrito,id,id_cruce,fecha_inst,longitud,latitud
3100Bici,15,52384,1445,26/01/1996,-3.65501336413727,40.42334743167040
2200PeatonBici,17,58075,4722,,-3.70533607743895,40.35278912654800
2200PeatonBici,8,222,1530,08/06/1998,-3.68552008731072,40.5049011833551
2200PeatonBici,8,225,2027,17/09/2007,-3.69480854152804,40.50633588732770
2200PeatonBici,8,226,2027,17/09/2007,-3.6947302377334,40.50629686766130
2200PeatonBici,14,1246,1040,18/12/1981,-3.64135520483763,40.41008749638680
2200PeatonBici,14,1247,1040,18/12/1981,-3.64149148196022,40.41009157678540
2200PeatonBici,17,58087,4722,,-3.7053225752604,40.35190043967160
2200PeatonBici,1,1793,116,14/03/1964,-3.70872543836401,40.4160182703998
3200Bici,6,58098,108,,-3.68998854989671,40.46205435570490
3200Bici,6,58099,108,,-3.69006020808555,40.46210550490260
3100Bici,6,58100,108,,-3.69033309002694,40.46202662791520
2200PeatonBici,6,58463,114,,-3.68978103540709,40.46533025277560
3200Bici,8,59085,1173,,-3.70903007478081,40.48079439230410
3200Bici,8,59088,1173,,-3.70892893887446,40.48085362318780
3200Bici,14,6006,599,26/10/1973,-3.65509948565063,40.41059041054070
3200Bici,14,6010,599,26/10/1973,-3.65585324935311,40.41055247955550
3200Bici,14,6017,642,02/12/1974,-3.65225289709081,40.41042029805790
3200Bici,14,6060,675,20/10/1975,-3.64740271696513,40.40889507440330
3200Bici,14,6093,676,20/10/1975,-3.64529594891034,40.40835643749160
2200PeatonBici,8,221,1530,08/06/1998,-3.68544292750865,40.50490215220500
2200PeatonBici,8,227,2026,17/09/2007,-3.69583596443391,40.50683487645230
2200PeatonBici,8,228,2026,17/09/2007,-3.69576018290713,40.50679621306160
2200PeatonBici,14,1190,1742,30/01/2003,-3.62965940520173,40.41037624444020
2200PeatonBici,14,1191,1742,30/01/2003,-3.62971683164061,40.41039296494930
2200PeatonBici,14,1192,1742,30/01/2003,-3.62978624094494,40.41041596351730
2200PeatonBici,14,1193,1742,30/01/2003,-3.62984139753381,40.41043223463860
2200PeatonBici,14,1194,1742,30/01/2003,-3.62996974528718,40.41063668378980
2200PeatonBici,14,1195,1742,30/01/2003,-3.62994981873697,40.41056627320420
2200PeatonBici,20,3361,663,25/05/1975,-3.62805579882873,40.42390298322740
2200PeatonBici,20,3362,663,25/05/1975,-3.62797352029074,40.42393454561080
2200PeatonBici,20,3367,569,22/05/1973,-3.62636768434368,40.42226672977620
2200PeatonBici,20,3452,681,05/12/1975,-3.62543317989878,40.4205931761912
2200PeatonBici,20,3453,681,05/12/1975,-3.62548159927089,40.42050923327200
2200PeatonBici,20,3454,681,05/12/1975,-3.62556971194226,40.42047268787320
2200PeatonBici,20,3456,681,05/12/1975,-3.62559865214541,40.42035138483760
2200PeatonBici,2,31177,4553,07/02/1997,-3.70193820053349,40.39607414368170
2200PeatonBici,2,31178,4553,07/02/1997,-3.70201774324445,40.39599497682680
3200Bici,11,53833,320,16/09/1968,-3.72782837873054,40.38637281004130
3200Bici,2,663,413,26/02/2018,-3.69896485846833,40.39379691436370
3100Bici,1,1857,385,04/02/2019,-3.69804393215415,40.41183925558300
2200PeatonBici,2,846,602,17/12/1973,-3.69618627143871,40.40104138969760
2200PeatonBici,2,847,602,17/12/1973,-3.69611939092627,40.4010367209295
3200Bici,9,5277,100,27/02/1962,-3.71189928403312,40.4242942901582
3200Bici,2,4294,776,01/01/1978,-3.72049824752798,40.40384739125040
3200Bici,1,5264,176,03/06/2019,-3.70919047059826,40.4242240155854
3200Bici,1,5309,510,25/05/1972,-3.71319588725025,40.42173195656920
2200Bici,2,43282,1433,25/05/2015,-3.70688616080195,40.40157328726370
2200Bici,11,50588,1913,11/11/2005,-3.74327570145657,40.38241889467880
2200Bici,10,52637,242,06/11/2014,-3.72390122541131,40.41412296826310
2200PeatonBici,17,55149,4550,,-3.70403036219299,40.35617049422140
3200Bici,14,1129,1344,29/10/1992,-3.64332277816271,40.40898341015460
3200Bici,14,6019,642,02/12/1974,-3.65234692919383,40.41021172406800
2200PeatonBici,8,223,2025,02/03/2021,-3.69711713838962,40.50744883525840
2200PeatonBici,8,224,2025,17/09/2007,-3.69699283782824,40.50738898432000
2200PeatonBici,14,1248,1040,18/12/1981,-3.64164279717111,40.40956619141420
2200PeatonBici,14,1249,1040,18/12/1981,-3.64168107460241,40.40961989744820
3200Bici,14,6000,599,26/10/1973,-3.65585853542562,40.4108161657961
3200Bici,14,6024,642,02/12/1974,-3.6527053193077,40.41029410366470
2200PeatonBici,2,31236,342,03/07/2024,-3.69554433539749,40.39157834631550
2200PeatonBici,2,51388,2209,17/02/2015,-3.70562939837489,40.39727850817940
2200PeatonBici,1,57561,28,,-3.69533296019125,40.41885558973280
3200Bici,7,53365,251,21/10/1967,-3.69790393534088,40.43271794554260
3200Bici,2,56376,856,01/01/1978,-3.71488858485609,40.40071142222340
3200Bici,5,57476,4655,,-3.68187919742752,40.44146453928140
3200Bici,14,6004,599,26/10/1973,-3.65500689102616,40.41081410492750
3200Bici,14,55457,676,,-3.64538350182567,40.40830031933830
3200Bici,3,14419,106,23/04/2018,-3.67455418998899,40.40134302378410
2200Bici,6,58259,109,04/05/2020,-3.69049187394961,40.45853231649490
2200Bici,6,58262,109,30/12/1963,-3.69054651726809,40.45853669970950
2200Bici,6,58476,109,,-3.69077685659448,40.45895926766630
2200PeatonBici,20,3451,681,05/12/1975,-3.62535966333534,40.42063103306150
2200Bici,6,58477,109,,-3.69077458568776,40.45920780307630
3200Bici,14,6065,675,20/10/1975,-3.64793390846464,40.40886480984
3200Bici,14,6068,570,23/05/1973,-3.64991982354434,40.40976024359780
2200Bici,2,43283,1433,25/05/2015,-3.70673509160705,40.40152240363020
3200Bici,17,15957,1765,07/08/2003,-3.693428928411,40.34570181867990
2200PeatonBici,20,49519,1984,27/02/2007,-3.60799231024558,40.43435777836000
3200Bici,7,53230,480,30/11/1971,-3.69925556544425,40.43584255555900
3200Bici,7,53346,476,25/11/1971,-3.69896407186766,40.43527771947080
3200Bici,7,19050,476,18/04/2017,-3.69867306758033,40.43464165321180
3200Bici,7,19068,247,25/03/2017,-3.69949086796448,40.43656746943460
3200Bici,7,19112,1236,07/04/2017,-3.69812442928385,40.43337730084120
3200Bici,7,53225,251,21/10/1967,-3.69765989114822,40.43217421784480
3200Bici,7,53375,79,01/01/1960,-3.70041082836883,40.4386397562328
3200Bici,7,19412,234,12/07/1967,-3.69708707461628,40.43097173747620
3200Bici,7,19414,234,05/04/2017,-3.69704158031653,40.43076693692170
3200Bici,7,19543,235,28/04/2017,-3.69656425619592,40.42964983666900
3200Bici,7,19824,280,07/06/2017,-3.70227558010213,40.44301557294550
3200Bici,7,53437,188,06/09/1966,-3.70181156206391,40.44187845305370
3200Bici,7,19840,472,20/05/2017,-3.70118089299247,40.44047890206950
2200PeatonBici,20,56089,10026,,-3.60352041019245,40.43389637009620
