anyo;trimestre;barrio;num_viviendas;metros_2;dormitorios;banyos;renta_min;renta_media;renta_max;euros_m2;desv_tipica
2013;1;San Agustín;2;116;2,5;1,5;375;538;700;4,6;163
2013;1;San Antón;16;107;2,3;1,6;280;463;600;5,6;81
2013;1;San Blas;63;90;2,6;1,5;350;441;600;5,1;68
2013;1;San Gabriel;27;112;3,3;1,9;350;565;800;5,1;108
2013;1;Sidi Ifni - Nou Alacant;2;68;3;1;350;370;390;5,8;20
2013;1;Tómbola;5;97;2,8;2,2;430;510;585;5,3;65
2013;1;Urbanova;7;82;2;1,6;375;532;800;6,4;137
2013;1;Villafranqueza;12;130;2,6;1,6;325;388;475;3,8;44
2013;1;Virgen del Remedio;6;89;2,7;1,5;300;360;420;4,3;40
2013;1;Vistahermosa;2;58;2;1;330;398;465;7,6;68
2013;2;Alipark;10;90;2,9;1,4;350;430;600;4,8;72
2013;2;Altozano;22;95;3;1,5;275;424;550;4,5;71
2013;2;Benalúa;60;91;2,9;1,5;250;433;1000;4,8;109
2013;2;Benisaudet;4;99;3,1;2;400;510;575;5,1;50
2013;2;Cabo de las Huertas;37;112;2,5;1,6;340;634;1300;5,7;227
2013;2;Campoamor;27;82;2,7;1,4;280;391;550;4,8;60
2013;2;Carolinas Altas;35;81;2,5;1,3;220;383;500;4,7;51
2013;2;Carolinas Bajas;32;78;2,4;1,3;250;395;550;5,1;67
2013;2;Casco Antiguo - Sta. Cruz;19;76;2;1,4;250;464;800;6,1;146
2013;2;Centro;118;100;2,7;1,7;280;552;1100;5,5;157
2013;2;Centro Histórico - Tradicional;49;85;2,3;1,5;250;503;1200;6;190
2013;2;Ciudad de Asís;8;89;2,7;1,3;300;386;450;4,4;49
2013;2;Ciudad Jardín;2;177;3;1,7;420;655;1100;3,7;314
2013;2;Florida Alta;20;84;2,8;1,2;299;412;500;4,9;57
2013;2;Florida Baja;21;84;2,6;1,4;300;425;600;5,1;72
2013;2;Garbinet;3;86;2,2;1,6;350;459;500;5,3;58
2013;2;Gran Vía - Parque Avenidas;28;99;2,8;1,9;360;555;800;5,6;82
2013;2;Juan XXIII 1er sector;4;83;3;1,3;300;344;380;4,2;31
2013;2;La Albufereta;56;77;2,1;1,4;250;503;850;6,5;122
2013;2;La Goteta;2;97;2;1,3;390;462;600;4,8;97
2013;2;Los Ángeles;30;91;2,8;1,6;250;409;584;4,5;63
2013;2;Mercado;31;93;2,9;1,5;299;454;800;4,9;89
2013;2;PAU I;20;99;2,5;1,9;375;549;700;5,5;93
2013;2;PAU II;7;108;3,2;1,9;460;538;620;5;44
2013;2;Pla del Bon Repós;60;76;2,5;1,2;250;375;700;5;69
2013;2;Playa de San Juan;160;90;2,3;1,7;250;552;1200;6,1;158
