ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,UBICACION,USO,MODELO
530297,Fuentes de beber,207,CANILLEJAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,448323.510,4477629.610,ETRS89,40.44771682,-3.60939357,CALLE,BOLTAÑA,59,28022,"c/v c/ san faustino, junto a area infantil",11138472,,FUE_20_0092,FUE25,ZV,PERSONAS,MU-37A
530299,Fuentes de beber,205,ROSAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,448527.595,4475657.318,ETRS89,40.42996187,-3.60682726,AVENIDA,NIZA,37,28022,próximo julia gracia boutan área canina,20096820,2023-08-10 00:00:00.0,FUE_20_0094,FUE25,ZV,PERSONAS_Y_MASCOTAS,MIXTA ESTELA
530301,Fuentes de beber,201,SIMANCAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,447118.35,4475861.41,ETRS89,40.43171206,-3.62345743,CALLE,VIRGEN DE LA OLIVA,28,28037,"en la plaza blanca, posterior a centro de mayores castillo de ucles",11134579,,FUE_20_0096,FUE25,VP,PERSONAS,MU-37A
530302,Fuentes de beber,207,CANILLEJAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,448187.88,4477350.44,ETRS89,40.44519345,-3.61097013,PLAZA,VILLA DE CANILLEJAS,3,28022,plaza entre c/ esfinge y c/ torre arias,11138286,,FUE_20_0100,FUE25,ZV,PERSONAS,ESCULTURA PATRIMONIO HISTÓRICO
530303,Fuentes de beber,208,EL SALVADOR,20,SAN BLAS-CANILLEJAS,OPERATIVO,446182.05,4477255.77,ETRS89,40.44421319,-3.63461357,CALLE,LOPEZ DE ARANDA,29,28027,entre farolas 7 y 8 de plaza barbados,20109179,2016-11-16 00:00:00.0,FUE_20_0109,FUE25,VP,PERSONAS,MU-37A
530304,Fuentes de beber,215,CORRALEJOS,21,BARAJAS,OPERATIVO,449876.448,4479800.95,ETRS89,40.46737266,-3.59125299,CALLE,BRIONES,63,28042,z.a. los coronales,20044396,,FUE_21_0003,FUE25,ZV,PERSONAS,MU-37A
530305,Fuentes de beber,211,ALAMEDA DE OSUNA,21,BARAJAS,OPERATIVO,449693.743,4478112.353,ETRS89,40.45214972,-3.59327422,CALLE,OBENQUE,7,28042,,20047263,,FUE_21_0012,FUE25,ZV,PERSONAS,MU-37A
530306,Fuentes de beber,213,CASCO HISTORICO DE BARAJAS,21,BARAJAS,OPERATIVO,450829.383,4480859.85,ETRS89,40.47696882,-3.58009489,CALLE,JUPITER,18,28042,,20093585,,FUE_21_0014,FUE25,ZV,PERSONAS,PIEDRA VP
530310,Fuentes de beber,213,CASCO HISTORICO DE BARAJAS,21,BARAJAS,OPERATIVO,451099.251,4480582.037,ETRS89,40.47448205,-3.57688983,PLAZA,JUBILADO,2,28042,,11143776,,FUE_21_0018,FUE25,ZV,PERSONAS,MU-37B
530317,Fuentes de beber,211,ALAMEDA DE OSUNA,21,BARAJAS,OPERATIVO,449703.817,4478072.613,ETRS89,40.45179233,-3.59315227,CALLE,OBENQUE,6,28042,"próximo a c/ pinos de osuna, 7",20047275,,FUE_21_0013,FUE25,ZV,PERSONAS,MU-37A
530318,Fuentes de beber,211,ALAMEDA DE OSUNA,21,BARAJAS,OPERATIVO,450557.531,4478820.04,ETRS89,40.45857684,-3.58314297,AVENIDA,CANTABRIA,50,28042,parque mari luz najera,11139948,,FUE_21_0006,FUE25,ZV,PERSONAS,OTRO
530319,Fuentes de beber,201,SIMANCAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,446970.9,4475541.71,ETRS89,40.42882263,-3.62516905,CALLE,ZAYAS,8,28037,"frente farola 4, junto area infantil",11134796,,FUE_20_0104,FUE25,VP,PERSONAS,MU-S37A
530322,Fuentes de beber,211,ALAMEDA DE OSUNA,21,BARAJAS,OPERATIVO,449663.553,4478775.33,ETRS89,40.45812039,-3.5936828,CALLE,ANTONIO SANCHA,2 A,28042,"próximo a joaquín ibarra, 8",31013197,,FUE_21_0001,FUE25,ZV,PERSONAS,MU-37A
530324,Fuentes de beber,212,AEROPUERTO,21,BARAJAS,OPERATIVO,450516.516,4477902.34,ETRS89,40.45030718,-3.58355516,CALLE,GARGANCHON,115 A,28042,med. de pomar,11140183,,FUE_21_0007,FUE25,ZV,PERSONAS,PIEDRA VP
530325,Fuentes de beber,211,ALAMEDA DE OSUNA,21,BARAJAS,OPERATIVO,449323.38,4477994.0,ETRS89,40.45106102,-3.59763233,PASEO,VIA VERDE DE LA GASOLINA,17,28042,"parque biosaludable. próximo a noray, 3",31063052,,FUE_21_0035,FUE25,ZV,PERSONAS,MU-37A
530153,Fuentes de beber,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,446143.995,4483647.57,ETRS89,40.50179132,-3.63560499,CALLE,SAN ENRIQUE DE OSSO,347,28055,"próximo a c/ agatha christie, 5",31028097,,FUE_16_0073,FUE25,ZV,PERSONAS,MU-37A
530154,Fuentes de beber,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,445367.315,4484310.16,ETRS89,40.50770944,-3.64482793,CAMINO,HUERTA,23,28055,z.v. julio caro baroja,20178424,,FUE_16_0075,FUE25,ZV,PERSONAS,MU-37A
530156,Fuentes de beber,161,PALOMAS,16,HORTALEZA,OPERATIVO,446980.678,4478006.3,ETRS89,40.4510257,-3.62525945,CALLE,ESPUELA,4,28042,parque yucatan,31038484,,FUE_16_0077,FUE25,ZV,PERSONAS,MU-37A
530158,Fuentes de beber,162,PIOVERA,16,HORTALEZA,OPERATIVO,446963.841,4478358.124,ETRS89,40.45419405,-3.62548739,AVENIDA,ANDES,9,28043,c/v avda. piceas,20142322,,FUE_16_0076,FUE25,ZV,PERSONAS,MU-37A
