_id,CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Túneles lavado
63,12004,COLLADO MEDIANO,"40,692757","-4,035894","CALLE REAL, 73",28450,Collado Mediano,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion12004.pdf,""
64,12005,LOS MOLINOS-GUADARRAMA,"40,706598","-4,067179","PASEO PEDRO GUTIERREZ, S/N",28460,"Molinos, Los",Madrid,https://data.renfe.com/files/estaciones/FichaEstacion12005.pdf,""
65,12006,CERCEDILLA,"40,737516","-4,066481","CALLE EMILIO SERRANO, 30",28470,Cercedilla,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion12006.pdf,""
66,12020,PUERTO DE NAVACERRADA,"40,784445","-4,004772","CALLE VITORIA, 1",28470,Cercedilla,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion12020.pdf,""
67,17004,TRES CANTOS,"40,598596","-3,7156","PLAZA ESTACION FERROCARRIL, 1",28760,Tres Cantos,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion17004.pdf,""
68,17005,COLMENAR VIEJO,"40,645211","-3,776617","AVENIDA DE LA LIBERTAD, S/N",28770,Colmenar Viejo,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion17005.pdf,""
69,70111,LA GARENA,"40,4807624","-3,3919677","CALLE FAUSTO ELHUYAR, S/N",28806,Alcalá de Henares,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70111.pdf,""
70,70103,ALCALA DE HENARES,"40,488976","-3,3664702","PASEO ESTACION FERROCARRIL, S/N",28807,Alcalá de Henares,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70103.pdf,""
71,70107,ALCALA DE HENARES-UNIVERSIDAD,"40,5054503","-3,3353684","CARRETERA CAMPUS UNIVERSITARIO DE ALCALA, S/N",28807,Alcalá de Henares,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70107.pdf,""
72,70101,SAN FERNANDO DE HENARES,"40,4424319","-3,5342411","AVENIDA DE SAN PABLO, S/N",28830,San Fernando de Henares,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70101.pdf,""
73,70102,TORREJON DE ARDOZ,"40,4547456","-3,4797065","PLAZA ESTACION FERROCARRIL, S/N",28850,Torrejón de Ardoz,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70102.pdf,""
74,70112,SOTO DEL HENARES,"40,464383","-3,440614","AVENIDA JORGE OTEIZA, S/N",28850,Torrejón de Ardoz,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70112.pdf,""
75,70104,MECO,"40,534668","-3,2985719","CARRETERA ESTACION FERROCARRIL, S/N",28880,Meco,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion70104.pdf,""
76,37011,GETAFE-SECTOR 3,"40,288252","-3,737529","CAMINO VIEJO DE TOLEDO, S/N",28901,Getafe,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion37011.pdf,""
